Pub_ID,RADEG,DECDEG,12plogOH,PAH5.7eqw,PAH6.2eqw,PAH7.7eqw,PAH8.3eqw,PAH8.6eqw,PAH10.7eqw,PAH11.3eqw,PAH12.0eqw,PAH12.7eqw,PAH17.0eqw,SIV,NeII,NeIII,SIII,IRAC1(mJy),IRAC2(mJy),IRAC3(mJy),IRAC4(mJy),MIPS24(mJy),12log(O/H)_divided_by_max,PAH5.7eqw_divided_by_max,PAH6.2eqw_divided_by_max,PAH7.7eqw_divided_by_max,PAH8.3eqw_divided_by_max,PAH8.6eqw_divided_by_max,PAH10.7eqw_divided_by_max,PAH11.3eqw_divided_by_max,PAH12eqw_divided_by_max,PAH12.7eqw_divided_by_max,PAH17.0eqw_divided_by_max,SIVdivided_by_max,NEII_devided_by_max,NEIII_devided_by_max,SIII_devided_by_max,IRAC1_devided_by_max,IRAC2_devided_by_max,IRAC3_devided_by_max,IRAC4_devided_by_max,MIPS24_devided_by_max
Region 9,10.25,40.60564,8.86,,237.05257,143.9011765,15.531236,7.9449453,0.5109348,6.762988329,2.2992854,3.456087589,2.241415143,9.45E-17,1.34E-16,4.40E-17,5.38E-17,2.48E-05,1.41E-05,2.54E-05,3.02E-05,1.91E-05,0.963043478,0,1,1,1,1,0.946175556,1,1,1,0.925761849,3.33E-18,4.89E-18,7.84E-19,8.89E-19,1.66E-06,1.46E-06,8.96E-07,3.68E-07,2.07E-08
Region 1,10.376708,40.718834,9.2,0.3863641,1.1602479,3.408170998,0.4256687,0.4729886,0.0905205,1.448253393,0.4261006,0.761007488,1.25867679,2.03E-17,1.97E-17,1.49E-17,7.82E-18,1.46E-05,8.90E-06,1.90E-05,4.96E-05,2.81E-05,1,0.024147756,0.004894475,0.023684108,0.027407265,0.059533273,0.167630556,0.214144003,0.185318708,0.220193345,0.519865745,7.14E-19,7.19E-19,2.65E-19,1.29E-19,9.74E-07,9.18E-07,6.70E-07,6.05E-07,3.04E-08
Region 7,10.224916,40.98303,8.4,0.3178853,0.8649487,2.228246987,0.4449594,0.6928067,0.123683,1.813442588,0.4846523,1.076955676,2.219499305,7.98E-18,3.50E-17,1.01E-17,2.68E-17,7.12E-05,4.21E-05,4.25E-05,2.60E-05,1.07E-05,0.913043478,0.019867831,0.003648763,0.015484564,0.028649323,0.08720094,0.229042593,0.268142203,0.210783881,0.311611222,0.916710047,2.81E-19,1.28E-18,1.81E-19,4.42E-19,4.75E-06,4.34E-06,1.50E-06,3.18E-07,1.16E-08
Region 3,10.155708,41.024834,8.85,4.275975,8.323796,18.5431509,2.8393257,0.9312248,,2.140652776,0.6915593,1.603908777,2.42115739,1.02E-16,3.07E-17,1.97E-17,1.52E-17,1.61E-05,9.37E-06,2.41E-05,3.39E-05,2.45E-05,0.961956522,0.267248438,0.035113713,0.128860315,0.182813892,0.117209718,0,0.316524689,0.300771405,0.464082213,1,3.58E-18,1.13E-18,3.52E-19,2.52E-19,1.08E-06,9.66E-07,8.47E-07,4.13E-07,2.65E-08
Region 4,10.324417,41.11939,8.89,0.2805726,1.0199211,3.664435744,0.4846458,0.7683488,0.0654075,1.668869793,0.3076964,0.819039226,1.652259737,1.56E-17,2.08E-17,1.11E-17,4.50E-18,3.05E-05,1.77E-05,3.04E-05,3.14E-05,1.90E-05,0.966304348,0.017535788,0.00430251,0.025464946,0.031204587,0.096709137,0.121125,0.246765145,0.133822622,0.23698451,0.68242558,5.49E-19,7.61E-19,1.99E-19,7.43E-20,2.03E-06,1.83E-06,1.07E-06,3.83E-07,2.06E-08
Region 8,10.59,41.1215,8.94,,,0.096573398,0.0875577,0.09663,0.0871656,0.304937899,,0,0.618870504,1.72E-17,9.23E-18,4.08E-17,2.28E-17,1.58E-05,1.01E-05,2.28E-05,6.04E-05,3.78E-05,0.97173913,0,0,0.000671109,0.005637523,0.01216245,0.161417778,0.045089225,0,0,0.255609365,6.04E-19,3.38E-19,7.28E-19,3.77E-19,1.06E-06,1.04E-06,8.02E-07,7.37E-07,4.09E-08
Region 5,10.914875,41.317528,8.93,,0.1238941,0.608797312,0.1043581,0.1974591,0.0481384,0.768399298,0.1710958,0.499173105,1.554753825,1.84E-17,1.48E-17,8.77E-18,7.71E-18,5.25E-05,2.96E-05,2.72E-05,2.97E-05,1.42E-05,0.970652174,0,0.000522644,0.004230663,0.00671924,0.024853425,0.089145185,0.113618309,0.074412598,0.144433002,0.642153142,6.49E-19,5.43E-19,1.56E-19,1.27E-19,3.50E-06,3.05E-06,9.58E-07,3.62E-07,1.53E-08
Bulge,10.645833,41.350277,8.9,,1.162422,4.054060221,0.5092248,0.3018626,0.0284548,0.783465892,0.2176415,0.485434711,1.155734012,1.07E-16,6.52E-17,2.50E-17,6.99E-18,9.99E-05,5.93E-05,7.72E-05,8.27E-05,4.65E-05,0.967391304,0,0.004903646,0.02817253,0.032787139,0.037994296,0.052694074,0.11584611,0.094656148,0.140457873,0.477347742,3.77E-18,2.39E-18,4.45E-19,1.15E-19,6.66E-06,6.11E-06,2.72E-06,1.01E-06,5.04E-08
Region 6,10.898833,41.3875,8.73,,0.1043786,0.578995094,0.1003141,0.1364983,0.0517969,0.771695703,0.1536441,0.416783214,1.687859543,1.35E-17,1.21E-17,1.91E-17,1.88E-17,6.65E-05,3.74E-05,3.92E-05,2.83E-05,1.41E-05,0.948913043,0,0.000440318,0.004023561,0.006458861,0.017180521,0.095920185,0.114105727,0.066822544,0.120593938,0.697129212,4.76E-19,4.43E-19,3.41E-19,3.11E-19,4.43E-06,3.86E-06,1.38E-06,3.45E-07,1.53E-08
Region 2,11.345208,41.648083,9.07,0.2753016,1.0173677,3.375829637,0.3151816,0.6952267,0.0690304,1.582592189,0.354216,0.846237224,1.329118915,1.81E-17,2.17E-17,1.02E-17,3.05E-18,1.97E-05,1.08E-05,2.50E-05,4.87E-05,2.35E-05,0.985869565,0.01720635,0.004291739,0.023459361,0.020293401,0.087505536,0.127834074,0.234007825,0.154054821,0.244854102,0.548960146,6.39E-19,7.93E-19,1.82E-19,5.04E-20,1.31E-06,1.11E-06,8.81E-07,5.94E-07,2.54E-08
Nuc,210.802,54.3487222,8.76,16,1.44,4.91,0.46,1.17,0.05,1.9,0.51,1.18,1.46,0,7.57,1.2,4.5,15,9.7,19.2,48.9,96.2,1,1,0.979591837,0.806239737,1,0.307894737,0.092592593,0.484693878,1,1,1,0.00E+00,2.77E-01,2.14E-02,7.43E-02,1.00E+00,1.00E+00,6.76E-01,5.96E-01,1.04E-01
Ho602,210.7925833,54.3493889,8.76,0.29,1.21,6.09,0.35,3.8,0.54,3.92,0.41,0.89,0.59,0.34,2.3,0,1.54,3.09,1.94,3.78,9.35,23.2,1,0.018125,0.823129252,1,0.760869565,1,1,1,0.803921569,0.754237288,0.404109589,1.20E-02,8.42E-02,0.00E+00,2.54E-02,2.06E-01,2.00E-01,1.33E-01,1.14E-01,2.51E-02
SRL5,210.729375,54.3740556,8.55,0,1.47,4.85,0.13,1.36,0,1.81,0.33,0.78,0.17,0.18,4.13,0.16,4.01,1.17,1,4.82,13.2,36.2,0.976027397,0,1,0.796387521,0.282608696,0.357894737,0,0.461734694,0.647058824,0.661016949,0.116438356,6.34E-03,1.51E-01,2.85E-03,6.62E-02,7.80E-02,1.03E-01,1.70E-01,1.61E-01,3.92E-02
N5461,210.9223333,54.3180278,8.5,0.13,0.99,2.07,0.12,0.36,0.02,0.34,0.09,0.16,0.01,28.39,27.32,56.09,60.56,7.01,6.96,28.4,82,923,0.970319635,0.008125,0.673469388,0.339901478,0.260869565,0.094736842,0.037037037,0.086734694,0.176470588,0.13559322,0.006849315,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.67E-01,7.18E-01,1.00E+00,1.00E+00,1.00E+00
N5462,210.971625,54.3684167,8.37,0.11,1.36,4.35,0.32,0.99,0.12,1.37,0.15,0.95,0.01,2.75,4.34,6.5,7.46,1.37,1.16,4.08,10.4,74.5,0.955479452,0.006875,0.925170068,0.714285714,0.695652174,0.260526316,0.222222222,0.349489796,0.294117647,0.805084746,0.006849315,9.69E-02,1.59E-01,1.16E-01,1.23E-01,9.13E-02,1.20E-01,1.44E-01,1.27E-01,8.07E-02
N5455,210.7547083,54.2413056,8.25,0.07,1.12,2.83,0.21,0.82,0.03,0.75,0.14,0.31,0,3.08,3.85,11.19,7.93,1.92,1.75,5.36,13.1,134,0.941780822,0.004375,0.761904762,0.464696223,0.456521739,0.215789474,0.055555556,0.191326531,0.274509804,0.262711864,0,1.08E-01,1.41E-01,2.00E-01,1.31E-01,1.28E-01,1.80E-01,1.89E-01,1.60E-01,1.45E-01
N5447,210.6174167,54.2739722,8.45,0.14,0.29,1.31,0.19,0.29,0,0.3,0.05,0.16,0.1,3.33,1.61,4.27,5.41,1.75,1.47,4.62,12.3,106,0.964611872,0.00875,0.197278912,0.215106732,0.413043478,0.076315789,0,0.076530612,0.098039216,0.13559322,0.068493151,1.17E-01,5.89E-02,7.61E-02,8.93E-02,1.17E-01,1.52E-01,1.63E-01,1.50E-01,1.15E-01
N5471,211.1222917,54.3962222,8.09,0.08,0,1.6,0,0.32,0.11,0.21,0,0.04,0.1,12.92,0.96,20.63,8.47,1.56,1.8,2.1,4.66,122,0.923515982,0.005,0,0.26272578,0,0.084210526,0.203703704,0.053571429,0,0.033898305,0.068493151,4.55E-01,3.51E-02,3.68E-01,1.40E-01,1.04E-01,1.86E-01,7.39E-02,5.68E-02,1.32E-01