Pub_ID,RADEG,DECDEG,12plogOH,PAH5.7eqw,PAH6.2eqw,PAH7.7eqw,PAH8.3eqw,PAH8.6eqw,PAH10.7eqw,PAH11.3eqw,PAH12.0eqw,PAH12.7eqw,PAH17.0eqw,SIV,NeII,NeIII,SIII,IRAC1(mJy),IRAC2(mJy),IRAC3(mJy),IRAC4(mJy),MIPS24(mJy),12log(O/H)_divided_by_max,SIII_divided_by_max,IRAC1_divided_by_max,IRAC2_divided_by_max,IRAC3_divided_by_max,IRAC4_divided_by_max,PAH5.7eqw_divided_by_max,PAH6.2eqw_divided_by_max,PAH7.7eqw_divided_by_max,PAH8.3eqw_divided_by_max,PAH8.6eqw_divided_by_max,PAH10.7eqw_divided_by_max,PAH11.3eqw_divided_by_max,PAH12.0eqw_divided_by_max,PAH12.7eqw_divided_by_max,PAH17.0eqw_divided_by_max,SIV_divided_by_max,NeII_divided_by_max,NeIII_divided_by_max,MIPS24(mJy)_divided_by_max
Region 9,10.25,40.60564,8.86,,237.05257,143.9011765,15.531236,7.9449453,0.5109348,6.762988329,2.2992854,3.456087589,2.241415143,9.45E-17,1.34E-16,4.40E-17,5.38E-17,2.48E-05,1.41E-05,2.54E-05,3.02E-05,1.91E-05,0.963043451,1,0.24824825,0.23777403,0.32901555,0.36517537,0,1,1,1,1,1,1,1,1,0.925761849,0.8831775,1,1,0.41075268
Region 1,10.376708,40.718834,9.2,0.3863641,1.1602479,3.408170998,0.4256687,0.4729886,0.0905205,1.448253393,0.4261006,0.761007488,1.25867679,2.03E-17,1.97E-17,1.49E-17,7.82E-18,1.46E-05,8.90E-06,1.90E-05,4.96E-05,2.81E-05,1,0.14535317,0.14614615,0.1500843,0.24611399,0.59975815,0.09035696,0.004894475,0.023684108,0.027407265,0.059533273,0.177166441,0.214144003,0.185318708,0.220193345,0.519865745,0.18971962,0.14701492,0.33863634,0.60430104
Region 7,10.224916,40.98303,8.4,0.3178853,0.8649487,2.228246987,0.4449594,0.6928067,0.123683,1.813442588,0.4846523,1.076955676,2.219499305,7.98E-18,3.50E-17,1.01E-17,2.68E-17,7.12E-05,4.21E-05,4.25E-05,2.60E-05,1.07E-05,0.913043439,0.49814126,0.7127127,0.70994943,0.55051816,0.31438938,0.074342179,0.003648763,0.015484564,0.028649323,0.08720094,0.242071983,0.268142203,0.210783881,0.311611222,0.916710047,0.07457944,0.26119402,0.22954546,0.23010752
Region 3,10.155708,41.024834,8.85,4.275975,8.323796,18.5431509,2.8393257,0.9312248,,2.140652776,0.6915593,1.603908777,2.42115739,1.02E-16,3.07E-17,1.97E-17,1.52E-17,1.61E-05,9.37E-06,2.41E-05,3.39E-05,2.45E-05,0.961956561,0.28252786,0.16116117,0.15801011,0.31217617,0.40991536,1,0.035113713,0.128860315,0.182813892,0.117209718,0,0.316524689,0.300771405,0.464082213,1,0.95327103,0.22910447,0.44772726,0.5268817
Region 4,10.324417,41.11939,8.89,0.2805726,1.0199211,3.664435744,0.4846458,0.7683488,0.0654075,1.668869793,0.3076964,0.819039226,1.652259737,1.56E-17,2.08E-17,1.11E-17,4.50E-18,3.05E-05,1.77E-05,3.04E-05,3.14E-05,1.90E-05,0.966304421,0.08364312,0.3053053,0.2984823,0.3937824,0.3796856,0.065616052,0.00430251,0.025464946,0.031204587,0.096709137,0.128015355,0.246765145,0.133822622,0.236984511,0.68242558,0.14579439,0.15522388,0.25227273,0.40860212
Region 8,10.59,41.1215,8.94,,,0.096573398,0.0875577,0.09663,0.0871656,0.304937899,,0,0.618870504,1.72E-17,9.23E-18,4.08E-17,2.28E-17,1.58E-05,1.01E-05,2.28E-05,6.04E-05,3.78E-05,0.971739113,0.42379183,0.15815817,0.17032039,0.2953368,0.73035073,0,0,6.71E-04,0.005637523,0.01216245,0.170600241,0.045089224,0,0,0.255609365,0.16074766,0.068880595,0.9272727,0.8129032
Region 5,10.914875,41.317528,8.93,,0.1238941,0.608797312,0.1043581,0.1974591,0.0481384,0.768399298,0.1710958,0.499173105,1.554753825,1.84E-17,1.48E-17,8.77E-18,7.71E-18,5.25E-05,2.96E-05,2.72E-05,2.97E-05,1.42E-05,0.970652223,0.14330855,0.5255255,0.49915683,0.3523316,0.3591294,0,5.23E-04,0.004230663,0.00671924,0.024853425,0.094216327,0.113618309,0.074412598,0.144433002,0.642153142,0.17196262,0.11044776,0.19931817,0.30537632
Bulge,10.645833,41.350277,8.9,,1.162422,4.054060221,0.5092248,0.3018626,0.0284548,0.783465892,0.2176415,0.485434711,1.155734012,1.07E-16,6.52E-17,2.50E-17,6.99E-18,9.99E-05,5.93E-05,7.72E-05,8.27E-05,4.65E-05,0.967391312,0.12992564,1,1,1,1,0,0.004903646,0.02817253,0.032787139,0.037994296,0.055691646,0.11584611,0.094656148,0.140457873,0.477347742,1,0.48656714,0.5681818,1
Region 6,10.898833,41.3875,8.73,,0.1043786,0.578995094,0.1003141,0.1364983,0.0517969,0.771695703,0.1536441,0.416783214,1.687859543,1.35E-17,1.21E-17,1.91E-17,1.88E-17,6.65E-05,3.74E-05,3.92E-05,2.83E-05,1.41E-05,0.948913038,0.3494424,0.6656657,0.6306914,0.507772,0.34220076,0,4.40E-04,0.004023561,0.006458861,0.017180521,0.101376731,0.114105727,0.066822544,0.120593938,0.697129212,0.12616822,0.0902985,0.4340909,0.3032258
Region 2,11.345208,41.648083,9.07,0.2753016,1.0173677,3.375829637,0.3151816,0.6952267,0.0690304,1.582592189,0.354216,0.846237224,1.329118915,1.81E-17,2.17E-17,1.02E-17,3.05E-18,1.97E-05,1.08E-05,2.50E-05,4.87E-05,2.35E-05,0.985869527,0.05669145,0.19719721,0.1821248,0.32383418,0.5888755,0.064383351,0.004291739,0.023459361,0.020293401,0.087505536,0.135106084,0.234007825,0.154054821,0.244854102,0.548960146,0.16915888,0.16194029,0.23181817,0.50537634